"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","successfulSearchTest()","","Sun Feb 02 14:43:09 GMT 2025","broken","Sun Feb 02 14:43:09 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","successfulSearchTest"
"","51","WikipediaTest()","","Sun Feb 02 14:43:09 GMT 2025","broken","Sun Feb 02 14:43:09 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","WikipediaTest"
"","38","LentaTest()","","Sun Feb 02 14:43:08 GMT 2025","broken","Sun Feb 02 14:43:08 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","LentaTest"
"","14727","Выполнен ввод номера телефона кнопка получить код активна","","Sun Feb 02 14:43:28 GMT 2025","passed","Sun Feb 02 14:43:43 GMT 2025","","remote.LoginPageTests","remote.LoginPageTests","LoginTest"
"","7166","LoginTest()","","Sun Feb 02 14:42:50 GMT 2025","failed","Sun Feb 02 14:42:57 GMT 2025","","LoginTests","LoginTests","LoginTest"
"","7232","Выполнен ввод номера телефона кнопка получить код активна","","Sun Feb 02 14:42:42 GMT 2025","failed","Sun Feb 02 14:42:50 GMT 2025","","LoginPageTests","LoginPageTests","LoginTest"
"","19502","Открыть гавную страницу каталога","","Sun Feb 02 14:43:09 GMT 2025","passed","Sun Feb 02 14:43:28 GMT 2025","","remote.Catalog","remote.Catalog","openCatalog"
"","11653","Поиск товара через строку поиска находит товар","","Sun Feb 02 14:42:57 GMT 2025","failed","Sun Feb 02 14:43:08 GMT 2025","","Search","Search","setSearchInput"
"","20253","Поиск товара через строку поиска находит товар","","Sun Feb 02 14:43:57 GMT 2025","passed","Sun Feb 02 14:44:18 GMT 2025","","remote.Search","remote.Search","setSearchInput"
"","18551","Открыть гавную страницу каталога","","Sun Feb 02 14:42:24 GMT 2025","failed","Sun Feb 02 14:42:42 GMT 2025","","Catalog","Catalog","openCatalog"
"","14411","LoginTest()","","Sun Feb 02 14:43:43 GMT 2025","passed","Sun Feb 02 14:43:57 GMT 2025","","remote.LoginTests","remote.LoginTests","LoginTest"
"","30","WikilocalTest()","","Sun Feb 02 14:43:09 GMT 2025","broken","Sun Feb 02 14:43:09 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","WikilocalTest"
